Hegemone 45000000000000 23947000000 -739.6 155.2 0.328 1500
Pasiphaë 192000000000000000 23208940000 -722.34 153.409 0.6110 28900
S/2016J4 9999999999999 23664140000 -743.69 146.255 0.1986 500
Eirene 90000000000000 23731770000 -743.88 162.713 0.2413 2000
Cyllene 14987000000000 24349000000 -737.8 149.3 0.319 1000
Sinope 77700000000000000 24371650000 -777.29 158.638 0.3367 17500
Aoede 87000000000000 23981000000 -761.5 158.3 0.432 2000
Autonoe 90000000000000 23039000000 -719.01 152.9 0.334 2000
Callirrhoe 869227691196372 24583090000 -787.43 147.998 0.3096 4800
S/2003J9 1400000000000 24168660000 -752.84 166.334 0.1702 500
Kore 14999999999999 24543000000 -779.2 145 0.325 1000
S/2003J23 15000000000000 24678190000 -792 146.155 0.3208 1000
